gbifID,eventDate,verbatimLocality,decimalLatitude,decimalLongitude,plant_id
2603380268,2020-04-15,"Huntley Meadows Park, Alexandria, VA, US",38.7663205248,-77.1199081746,2
2596014913,2018-10-25,"7338 Old Telegraph Rd, Alexandria, VA, US",38.7600179203,-77.1392649227,3
2574296014,2020-02-03,"Bayberry Dr, Alexandria, VA, US",38.7421287177,-77.0731310361,2
2574142004,2020-02-03,"Parkers Ln, Alexandria, VA, US",38.742129053,-77.0733803977,2
2574133371,2019-10-26,"Island Creek Park, Alexandria, VA, US",38.7511266489,-77.1721422673,1
2574126294,2019-09-29,"Brook Valley Park, Alexandria, VA, US",38.818610209,-77.1270006516,1
2456558491,2019-10-27,"Island Creek Park, Alexandria, VA, US",38.7513550058,-77.1720664087,1
2445126269,2019-10-19,"Lake Cove Dr, Alexandria, VA, US",38.763029429,-77.1232154744,1
2423169350,2019-07-29,"Potomac River, Alexandria, VA, US",38.7833366667,-77.0541,1
2423167383,2019-08-03,"George Washington Memorial Parkway, Alexandria, VA, US",38.7817616667,-77.0539388333,1
2423130516,2019-09-18,"E Boulevard Dr, Alexandria, VA, US",38.7425073052,-77.0441453427,1
2397579967,2019-08-24,"Mount Vernon RECenter, Alexandria, VA, US",38.7737416667,-77.0638416667,1
2331900191,2019-08-04,"101 S Van Dorn St, Alexandria, VA, US",38.8137068181,-77.1314081457,1
2283178469,2017-07-15,"2000 Mount Vernon Memorial Hwy, Alexandria, VA, US",38.7110533333,-77.0651638333,1
2283158056,2017-07-15,"Fort Hunt National Park, Alexandria, VA, US",38.71812,-77.0563971667,1
2269246026,2017-07-03,"1250 S Washington St, Alexandria, VA, US",38.7910216667,-77.0501721667,1
2244335185,2017-06-18,"George Washington Memorial Parkway, Alexandria, VA, US",38.78398,-77.0542666667,1
2244296351,2017-06-18,"Belle Haven Country Club, Alexandria, VA, US",38.7822416667,-77.0545805,1
2242993986,2017-05-07,"George Washington Memorial Parkway, Alexandria, VA, US",38.7742783333,-77.0501555,1
2242981669,2017-07-01,"1800–2098 Windsor Rd, Alexandria, VA, US",38.7804633333,-77.0663388333,1
2239052119,2019-04-28,"George Washington Memorial Parkway, Alexandria, VA, US",38.7709,-77.0509638333,1
2239010817,2019-04-27,"Cameron Run Regional Park, Alexandria, VA, US",38.8043716667,-77.1053695,1
2239009864,2019-04-27,"Cameron Run Regional Park, Alexandria, VA, US",38.8058616667,-77.1079721667,3
2239003349,2019-04-27,"Cameron Run Regional Park, Alexandria, VA, US",38.8041833333,-77.1018971667,1
2238956914,2019-04-29,"Lee District Park, Alexandria, VA, US",38.7745824829,-77.1096407623,1
2238954496,2019-04-29,"Lee District Park, Alexandria, VA, US",38.7735072943,-77.1093916521,1
2238913866,2019-04-28,"21 W Mt Ida Ave, Alexandria, VA 22305, USA",38.82869571,-77.06235342,2
2238866356,2019-04-27,"5901 Dungeness Ln, Alexandria, VA, US",38.7602216667,-77.1402583333,3
2238855440,2019-04-27,"Loftridge Park, Alexandria, VA, US",38.7978480058,-77.1020636056,2
2238847425,2019-04-27,"7047 Fieldhurst Ct, Alexandria, VA, US",38.7635142636,-77.135789618,2
2238821605,2019-04-26,"6205 Arkendale Rd, Alexandria, VA, US",38.7833633333,-77.0708388333,2
2238820896,2019-04-26,"5452 Edsall Ridge Pl, Alexandria, VA, US",38.805249352,-77.1430009045,2
2238820077,2019-04-26,"2330 Windsor Rd, Alexandria, VA, US",38.7833416667,-77.0711361667,1
2238819007,2019-04-26,"103 Skyhill Rd, Alexandria, VA, US",38.8093705886,-77.0759864127,2
2238812257,2019-04-26,"6203 Arkendale Rd, Alexandria, VA, US",38.7835583333,-77.0707555,1
2234802885,2019-03-24,"Mount Vernon Trl, Alexandria, VA, US",38.818825,-77.0391471667,3
1986539389,2018-12-30,"4603 Green Spring Rd, Alexandria, VA 22312, USA",38.8241699765,-77.1579044312,2
1933538367,2018-04-29,"5937 Monticello Rd, Alexandria, VA, US",38.7882100745,-77.0790215024,1
1931502062,2018-10-14,"Four Mile Run Park, Alexandria, VA, US",38.84127,-77.0575416667,1
1914323149,2018-09-28,"5720 N Kings Hwy, Alexandria, VA 22303, USA",38.79494424,-77.07855342,1
1913655192,2018-05-28,"320 Beverley Dr, Alexandria, VA, US",38.833655,-77.0696416667,1
1913655191,2018-05-28,"320 Beverley Dr, Alexandria, VA, US",38.8336333333,-77.0698611667,1
1901076879,2017-08-19,"George Washington Memorial Parkway, Alexandria, VA, US",38.77332,-77.0502916667,1
1901072093,2018-08-04,"Old Town, Alexandria, VA, USA",38.790410926,-77.0405852795,1
1898811331,2018-08-04,"West Potomac High School, Alexandria, VA, US",38.77382,-77.0694195,1
1891351033,2018-08-04,"2311 Stokes Ln, Alexandria, VA, US",38.7725133333,-77.0718833333,1
1891348037,2018-08-04,"6401–6419 Quander Rd, Alexandria, VA, US",38.7781916667,-77.0698611667,2
1891344861,2018-08-04,"2215 Harvard Dr, Alexandria, VA, US",38.778855,-77.0699388333,1
1891303773,2018-08-10,"5965 Richmond Hwy, Alexandria, VA, US",38.7891175831,-77.0645811596,1
1890699405,2018-08-04,"6207 Arkendale Rd, Alexandria, VA, US",38.7828616667,-77.0710055,1
1890077853,2018-07-28,"Belle Haven Country Club, Alexandria, VA, US",38.7807083333,-77.0566333333,1
1890071940,2018-07-28,"George Washington Memorial Parkway, Alexandria, VA, US",38.778495,-77.0495528333,1
1883549876,2018-07-17,"110 S Payne St, Alexandria, VA, US",38.8056393201,-77.0534489025,1
1883536831,2018-07-15,"2501 Huntington Ave, Alexandria, VA, US",38.7940716667,-77.0740055,1
1883516663,2018-07-13,"5631 Telegraph Rd, Alexandria, VA 22303, USA",38.79866428,-77.07954955,1
1880579767,2018-06-26,"Jones Point Park, Alexandria, VA, US",38.7939333333,-77.0406638333,1
1880550943,2018-05-20,"Huntington Ave, Alexandria, VA, US",38.7897633333,-77.0612721667,1
1880460055,2018-04-27,"Claremont, Alexandria, VA, USA",38.8473666667,-77.1024166667,2
1850903529,2018-05-07,"Landmark, Alexandria, VA, USA",38.8095583333,-77.1127472222,1
1841329096,2018-05-03,"5605 Ridge View Dr, Alexandria, VA 22310, USA",38.79836729,-77.1064845,2
1841298158,2018-04-30,"Seminary Hill, Alexandria, VA, USA",38.8051694444,-77.103875,2
1841291625,2018-04-30,"Landmark, Alexandria, VA, USA",38.8066111111,-77.1150055556,1
1841238076,2018-04-28,"George Washington Memorial Parkway, Alexandria, VA, US",38.774455,-77.0501721667,1
1841205523,2018-04-27,"2330 Windsor Rd, Alexandria, VA, US",38.7833333333,-77.0711888333,1
1802646208,2015-05-02,"Monticello Park, Alexandria, VA",38.8332344759,-77.0701432228,2
1453526223,2016-10-12,"3700 Commonwealth Ave, Alexandria, VA 22305, USA",38.8404519,-77.0591117,1
1453185237,2016-10-31,"21 Mount Vernon Ave, Alexandria, VA, US",38.8084956212,-77.0595383552,2
1453185176,2016-10-31,"4902 Taney Ave, Alexandria, VA, US",38.8162259991,-77.1163788066,2
1453179353,2016-10-19,"Alexandria County, US-VA, US",38.818067,-77.063388,1
1453176883,2016-10-28,"3700 Fort Worth Ave, Alexandria, VA, US",38.8143989118,-77.0948498045,2
1453143149,2016-10-15,"514 W Windsor Ave, Alexandria, VA, US",38.8234660356,-77.0714383107,2
1453142981,2016-10-15,"213 Wilkes St, Alexandria, VA, US",38.8002008837,-77.0433158131,2
1453139690,2016-10-13,"629 Oakley Pl, Alexandria, VA, US",38.8201655355,-77.0742631797,2
1453124116,2016-10-07,"915 N Quaker Ln, Alexandria, VA, US",38.821026901,-77.0888931257,2
